Person Name,Description,Wikipedia Link,Instagram,Twitter,Youtube,Homepage
BJ Fogg,BJ Fogg is an American social scientist and author.,https://en.wikipedia.org/wiki/B._J._Fogg,//www.instagram.com/bjfogg,//www.twitter.com/bjfogg,,
Ben Thompson,"Ben Thompson is an American business, technology, and media analyst.",https://en.wikipedia.org/wiki/Ben_Thompson_(writer),,//www.twitter.com/benthompson,,
Jamie Foxx,"Jamie Foxx is an American actor, singer, comedian, presenter, and producer.",https://en.wikipedia.org/wiki/Jamie_Foxx,//www.instagram.com/iamjamiefoxx,//www.twitter.com/iamjamiefoxx,,
Ben Carlson,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/bencarlson007,//www.twitter.com/awealthofcs,,
James Fadiman,James Fadiman is an American psychologist and writer.,https://en.wikipedia.org/wiki/James_Fadiman,,//www.twitter.com/Jfadiman,,
Barry Ritholtz,"Barry Ritholtz is an American author, newspaper columnist, blogger, equities analyst, and CIO of Ritholtz Wealth Management.",https://en.wikipedia.org/wiki/Barry_Ritholtz,,//www.twitter.com/ritholtz,,
Ava DuVernay,Ava Marie DuVernay is an American filmmaker and former film publicist.,https://en.wikipedia.org/wiki/Ava_DuVernay,//www.instagram.com/ava,//www.twitter.com/ava,,
Anne Lamott,Anne Lamott is an American novelist and non-fiction writer.,https://en.wikipedia.org/wiki/Anne_Lamott,//www.instagram.com/annelamott,//www.twitter.com/ANNELAMOTT,,
Russell Brand,"Russell Brand is an English comedian, actor, radio host, writer, and activist.",https://en.wikipedia.org/wiki/Russell_Brand,//www.instagram.com/russellbrand,//www.twitter.com/rustyrockets,,
Anna Khachiyan,"Anna Khachiyan is a Russian-American cultural critic, writer, and co-host of the podcast Red Scare.",https://en.wikipedia.org/wiki/Anna_Khachiyan,//www.instagram.com/annakhachiyan,//www.twitter.com/annakhachiyan,,
Anna Akana,"Anna Akana is an American actress, filmmaker, musician, and YouTuber.",https://en.wikipedia.org/wiki/Anna_Akana,//www.instagram.com/annaakana,//www.twitter.com/AnnaAkana,,
